event_id,headline,url,source,published,v1_place_name,v1_lat,v1_lon,valid_wildlife_article,event_type,event_subtype,species_common,species_scientific,species_iucn,animal_count,correct_place_name,correct_lat,correct_lon,location_precision,location_correct,location_error_type,human_casualties,human_injuries,animal_casualties,severity,cluster_id,notes_for_nikunj
GS012,"J&K's Rajouri records over 100 forest fire incidents 850 hectares impacted",https://www.hindustantimes.com/india-news/jammu-kashmirs-rajouri-records-over-100-forest-fire-incidents-850-hectares-impacted-101781416603918.html,Hindustan Times,2026-06-14,Rajouri,33.3793,74.3105,YES,habitat_threat,forest_fire,,,,,Rajouri J&K,33.3793,74.3105,district,YES,,0,0,0,high,RAJOURI-FIRE,"Part of Rajouri fire cluster. This is a summary article — probably the best canonical source for the event."
GS013,"Safety audit: Boat services to Papikonda Hills halted for a week",https://www.thehindu.com/news/national/andhra-pradesh/safety-audit-boat-services-to-papikonda-hills-halted-for-a-week/article71101540.ece,The Hindu,2026-06-14,Papikonda,17.4,81.6,BORDERLINE,conservation_action,tourism_management,,,,,Papikonda National Park,17.4,81.6,point,YES,,0,0,0,low,,"VALIDATE: Include? It's tourism management near a wildlife area. Not a direct wildlife event."
GS014,"Odisha village to get crocodile warning system under 'Smart Village' plan",https://www.thehindu.com/news/national/odisha/odisha-village-to-get-crocodile-warning-system-under-smart-village-plan/article71101384.ece,The Hindu,2026-06-14,Odisha,20.9517,85.0985,YES,conservation_action,hwc_mitigation,Mugger Crocodile,Crocodylus palustris,VU,,Odisha,20.9517,85.0985,state,NO,too_broad,"0,0,0,low,","VALIDATE: Which village/district? Article says 'Odisha village' without naming it. State centroid is acceptable fallback."
GS015,"Forest range officer among 3 nabbed in Budgam bribery case: CBI",https://www.greaterkashmir.com/kashmir/forest-range-officer-among-3-nabbed-in-budgam-bribery-case-cbi-12037311,Greater Kashmir,2026-06-14,Budgam,34.0366,74.7173,BORDERLINE,policy,corruption_prosecution,,,,,Budgam J&K,34.0366,74.7173,district,YES,,0,0,0,low,,"VALIDATE: Include? Forest governance/corruption case. No direct wildlife impact described in headline."
GS016,"Assam: Wildlife SOS disengaged after Doomdooma elephant calf death",https://nenow.in/environment/assam-wildlife-sos-disengaged-after-doomdooma-elephant-calf-death.html,Northeast Now,2026-06-14,Assam,26.2006,92.9376,YES,mortality,calf_death,Asian Elephant,Elephas maximus,EN,1,Doomdooma Assam,27.45,95.35,district,NO,too_broad,0,0,1,high,,"v1 extracted Assam state centroid. Headline explicitly names Doomdooma (town in Tinsukia district near Dehing Patkai)."
GS017,"New 'western trickle frog' discovered from the Garo and Khasi hills in Meghalaya",https://researchmatters.in/news/new-western-trickle-frog-discovered-garo-and-khasi-hills-meghalaya,Research Matters,2026-06-13,Meghalaya,25.467,91.3662,YES,discovery,new_species,Western Trickle Frog (new species),,,1,Garo-Khasi Hills Meghalaya,25.5,91.0,district,NO,too_broad,0,0,0,low,,"v1 extracted state centroid. Garo Hills and Khasi Hills are specific geographic regions within Meghalaya."
GS018,"Andhra Pradesh Biodiversity Board plans Statewide rollout of OECMs",https://www.thehindu.com/news/national/andhra-pradesh/andhra-pradesh-biodiversity-board-plans-statewide-rollout-of-oecms/article71096930.ece,The Hindu,2026-06-13,Andhra Pradesh,15.9129,79.74,YES,policy,conservation_policy,,,,,Andhra Pradesh,15.9129,79.74,state,YES,,0,0,0,medium,,"VALIDATE: OECMs = Other Effective Area-Based Conservation Measures. State level is correct for a statewide rollout."
GS019,"From zero to 26 estimation shows signs of Nilgiri Tahrs' revival in Coimbatore forest division",https://www.thehindu.com/news/national/tamil-nadu/from-zero-to-26-estimation-shows-signs-of-nilgiri-tahrs-revival-in-coimbatore-forest-division/article71093605.ece,The Hindu,2026-06-13,Coimbatore,11.0168,76.9558,YES,research,population_survey,Nilgiri Tahr,Nilgiritragus hylocrius,EN,26,Coimbatore Forest Division Tamil Nadu,11.0168,76.9558,district,YES,,0,0,0,low,,"Location correct — Coimbatore forest division is appropriate. count=26. This is positive news."
GS020,"Uttarakhand Nagaland Tripura to pilot community-led forest management project",https://nenow.in/environment/uttarakhand-nagaland-tripura-to-pilot-community-led-forest-management-project.html,Northeast Now,2026-06-13,Uttarakhand,30.0668,79.0193,YES,policy,community_forestry,,,,,Multi-state (Uttarakhand Nagaland Tripura),25.0,82.0,region,NO,wrong_location,0,0,0,low,,"v1 pinned to Uttarakhand only but article covers 3 states. No single correct point — this is a multi-state policy announcement."
GS021,"Forest fire sweeps through Bathuni forest",https://www.greaterkashmir.com/pir-panjal/forest-fire-sweeps-through-bathuni-forest-12032723,Greater Kashmir,2026-06-13,Rajouri,33.3793,74.3105,YES,habitat_threat,forest_fire,,,,,Rajouri J&K,33.3793,74.3105,district,YES,,0,0,0,high,RAJOURI-FIRE,"Duplicate event — part of Rajouri fire cluster. Should be merged with GS012 in v2."
GS022,"Telangana's EAGLE Force busts interstate marijuana racket five held with ganja worth 1 crore",https://www.thehindu.com/news/national/telangana/telanganas-eagle-force-busts-interstate-marijuana-racket-five-held-with-ganja-worth-1-crore/article71097612.ece,The Hindu,2026-06-13,Telangana,18.1124,79.0193,NO,other,,,,,,,,,,,,,0,0,0,,,,"FALSE POSITIVE: EAGLE Force is Enforcement Agency for Ganja Law Evasion — not a wildlife acronym. No wildlife content. Should be filtered by relevance classifier."
GS023,"New blue-spotted damselfly discovered in the Andaman Islands",https://researchmatters.in/news/new-blue-spotted-damselfly-discovered-andaman-islands,Research Matters,2026-06-12,Andaman,11.7401,92.6586,YES,discovery,new_species,Blue-spotted Damselfly (new species),,,1,Andaman Islands,11.7401,92.6586,point,YES,,0,0,0,low,,"Location correct."
GS024,"Tiger Takes Over Madhya Pradesh's Raisen Fort Hill Tourist Entry Shut",https://www.ndtv.com/india-news/tiger-takes-over-madhya-pradeshs-raisen-fort-hill-tourist-entry-shut-11627568,NDTV,2026-06-12,Madhya Pradesh,22.9734,78.6569,YES,hwc,straying,Tiger,Panthera tigris,EN,1,Raisen Madhya Pradesh,23.03,77.78,district,NO,too_broad,0,0,0,medium,,"v1 extracted state centroid. Headline explicitly names Raisen."
GS025,"4 sites on Nicobar west coast identified for coral translocation says Zoological Survey of India",https://indianexpress.com/article/india/great-nicobar-coral-translocation-galathea-bay-port-project-zsi-10735874/,Indian Express,2026-06-12,Nicobar,8.0883,93.545,YES,policy,habitat_management,Coral,,LC,,Great Nicobar Island,7.0,93.8333,point,YES,,0,0,0,medium,NICOBAR-CORAL,"Part of Nicobar coral cluster with GS001. Duplicate event."
GS026,"Elephant dies after roaming villages in Thalavadi hills for four days",https://www.thehindu.com/news/cities/Coimbatore/elephant-dies-after-roaming-villages-in-thalavadi-hills-for-four-days/article71092866.ece,The Hindu,2026-06-12,Sathyamangalam Tiger Reserve,11.5,77.2333,YES,mortality,starvation_or_illness,Asian Elephant,Elephas maximus,EN,1,Sathyamangalam Tiger Reserve,11.5,77.2333,point,YES,,0,0,1,high,,"Gazetteer match — v1 correctly pinned to Sathyamangalam TR. VALIDATE: Was this elephant from the reserve? Thalavadi hills are within STR buffer."
GS027,"65-year-old farmer rescued after getting lost in Belagavi forest",https://www.thehindu.com/news/national/karnataka/65-year-old-farmer-rescued-after-getting-lost-in-belagavi-forest/article71092867.ece,The Hindu,2026-06-12,Belagavi,15.8497,74.4977,NO,other,,,,,,,,,,,,,0,0,0,,,,"FALSE POSITIVE: Human rescue in forest — no wildlife content."
GS028,"Shigellosis cases rise to 16 in Kerala's Wayanad Health department steps up surveillance",https://www.thehindu.com/news/national/kerala/seven-more-shigella-cases-confirmed-in-keralas-wayanad/article71092677.ece,The Hindu,2026-06-12,Kerala,10.8505,76.2711,NO,other,,,,,,,,,,,,,0,0,0,,,,"FALSE POSITIVE: Human disease outbreak. Shigellosis is bacterial infection — not wildlife news. Passed filter because keyword 'Wayanad' (wildlife area) triggered inclusion."
GS029,"Jammu student bags The Himalayan Avian's first Star medal",https://www.greaterkashmir.com/jammu/jammu-student-bags-the-himalayan-avians-first-star-medal-12029389,Greater Kashmir,2026-06-12,Jammu,32.7266,74.857,NO,other,,,,,,,,,,,,,0,0,0,,,,"FALSE POSITIVE: Human achievement story. 'Himalayan Avian' is a birding club name."
GS030,"Dassal city forest damaged in flames",https://www.greaterkashmir.com/pir-panjal/dassal-city-forest-damaged-in-flames-12029052,Greater Kashmir,2026-06-12,Rajouri,33.3793,74.3105,YES,habitat_threat,forest_fire,,,,,Rajouri J&K,33.3793,74.3105,district,YES,,0,0,0,high,RAJOURI-FIRE,"Duplicate event — part of Rajouri fire cluster."
GS031,"Forest fire continues on LoC ridges locals save houses from flames",https://www.greaterkashmir.com/pir-panjal/forest-fire-continues-on-loc-ridges-locals-save-houses-from-flames-12029051,Greater Kashmir,2026-06-12,Rajouri,33.3793,74.3105,YES,habitat_threat,forest_fire,,,,,Rajouri J&K,33.3793,74.3105,district,YES,,0,0,0,high,RAJOURI-FIRE,"Duplicate event — part of Rajouri fire cluster."
GS032,"Loss of wildlife feared many animals rescued in Rajouri",https://www.greaterkashmir.com/pir-panjal/loss-of-wildlife-feared-many-animals-rescued-in-rajouri-12029050,Greater Kashmir,2026-06-12,Rajouri,33.3793,74.3105,YES,habitat_threat,forest_fire,,,,,Rajouri J&K,33.3793,74.3105,district,YES,,0,0,,,high,RAJOURI-FIRE,"Part of Rajouri fire cluster. This article is the most ecologically relevant — explicitly mentions wildlife loss and rescue. VALIDATE: How many animals were rescued/lost?"
GS033,"Tiger safari in UP extended by 15 days amid delayed monsoon",https://www.hindustantimes.com/india-news/tiger-safari-in-up-extended-by-15-days-amid-delayed-monsoon-101781205456748.html,Hindustan Times,2026-06-12,Uttar Pradesh,26.8467,80.9462,BORDERLINE,policy,tourism_management,Tiger,Panthera tigris,EN,,Uttar Pradesh,26.8467,80.9462,state,YES,,0,0,0,low,,"VALIDATE: Tourism management news. Borderline relevance for v2."
GS034,"Bhopal Man Arrested Was Allegedly Planning Lone-Wolf Attacks",https://www.ndtv.com/india-news/bhopal-man-arrested-was-allegedly-planning-lone-wolf-attacks-11629258,NDTV,2026-06-12,Bhopal,23.2599,77.4126,NO,other,,,,,,,,,,,,,0,0,0,,,,"FALSE POSITIVE: Terror/crime article. 'lone-wolf' is a colloquial phrase for solo attacker — not actual wolf. Should be caught by relevance classifier."
GS035,"Survey records rare sighting of Arctic Tern in Kollam",https://www.thehindu.com/news/national/kerala/arctic-tern-sighted-in-kollam-for-the-first-time/article71089278.ece,The Hindu,2026-06-12,Kollam,8.8932,76.6141,YES,sighting,rare_sighting,Arctic Tern,Sterna paradisaea,LC,1,Kollam Kerala,8.8932,76.6141,district,YES,,0,0,0,low,,"Location correct. VALIDATE: Is this the first confirmed sighting of Arctic Tern in Kollam or in Kerala? Matters for severity."
GS036,"Horticulture Dept to introduce 617 new species in Cubbon and Lalbagh including endangered ones",https://www.thehindu.com/news/national/karnataka/horticulture-dept-to-introduce-617-new-species-in-cubbon-and-lalbagh-including-endangered-ones/article71085343.ece,The Hindu,2026-06-12,BR Hills,11.9667,77.1667,YES,conservation_action,ex_situ_planting,,,,,Bengaluru (Cubbon Park & Lalbagh),12.9716,77.5946,point,NO,wrong_location,0,0,0,low,,"LOCATION ERROR: v1 pinned to BR Hills — wrong entirely. Article is about Cubbon Park and Lalbagh in Bengaluru city."
GS037,"Assam: Mutilated Royal Bengal Tiger carcass found in Sonitpur",https://nenow.in/environment/assam-mutilated-royal-bengal-tiger-carcass-found-in-sonitpur.html,Northeast Now,2026-06-12,Assam,26.2006,92.9376,YES,poaching,carcass_found,Bengal Tiger,Panthera tigris tigris,EN,1,Sonitpur Assam,26.7,92.8,district,NO,too_broad,0,0,1,critical,,"v1 extracted Assam state centroid. Headline explicitly names Sonitpur (district in Assam; Nameri TR is here). Mutilated = poaching indicator."
GS038,"3 injured in two suspected elephant attacks in Kerala's Palakkad",https://www.thehindu.com/news/national/kerala/3-injured-in-two-suspected-elephant-attacks-in-keralas-palakkad/article71087626.ece,The Hindu,2026-06-11,Palakkad,10.7867,76.6548,YES,hwc,elephant_attack_injury,Asian Elephant,Elephas maximus,EN,,Palakkad Kerala,10.7867,76.6548,district,YES,,0,3,0,high,,"Location correct at district level."
GS039,"Forest fire along LoC triggers land mine explosions in Rajouri",https://www.greaterkashmir.com/pir-panjal/forest-fire-along-loc-triggers-land-mine-explosions-in-rajouri-12023793,Greater Kashmir,2026-06-11,Rajouri,33.3793,74.3105,YES,habitat_threat,forest_fire,,,,,Rajouri J&K,33.3793,74.3105,district,YES,,0,0,0,high,RAJOURI-FIRE,"Part of Rajouri fire cluster. Note: secondary landmine hazard is newsworthy but the primary event is the forest fire."
GS040,"Massive forest fires damage hundreds of Kanals of green cover in Rajouri",https://www.greaterkashmir.com/pir-panjal/massive-forest-fires-damage-hundreds-of-kanals-of-green-cover-in-rajouri-12023792,Greater Kashmir,2026-06-11,Rajouri,33.3793,74.3105,YES,habitat_threat,forest_fire,,,,,Rajouri J&K,33.3793,74.3105,district,YES,,0,0,0,high,RAJOURI-FIRE,"Part of Rajouri fire cluster."
GS041,"18 python hatchlings found on house premises in Thrissur",https://www.thehindu.com/news/national/kerala/18-python-hatchlings-found-on-house-premises-in-thrissur/article71089624.ece,The Hindu,2026-06-11,Thrissur,10.5276,76.2144,YES,hwc,wildlife_in_human_settlement,Indian Rock Python,Python molurus,VU,18,Thrissur Kerala,10.5276,76.2144,district,YES,,0,0,0,low,,"Location correct."
GS042,"Abandoned plantations in Idukki raises threat of human-wildlife conflicts",https://www.thehindu.com/news/national/kerala/abandoned-plantations-in-idukki-heighten-human-wildlife-conflict-threats/article71089500.ece,The Hindu,2026-06-11,Periyar Tiger Reserve,9.4667,77.15,YES,habitat_threat,encroachment,,,,,Periyar Tiger Reserve / Idukki,9.4667,77.15,point,YES,,0,0,0,medium,,"Gazetteer match to Periyar TR. VALIDATE: Is the article actually about Periyar or about general Idukki district? Idukki borders several PAs."
GS043,"Kerala reports suspected Nipah virus case trader whose godown had fruit bats",https://indianexpress.com/article/india/nipah-virus-suspected-kerala-godown-fruit-bats-10734281/,Indian Express,2026-06-11,Kerala,10.8505,76.2711,BORDERLINE,other,zoonosis,Fruit Bat (Indian Flying Fox),Pteropus medius,LC,,Kerala,10.8505,76.2711,state,YES,,0,0,0,medium,,"VALIDATE: Zoonosis via bats is a wildlife-human interface issue. Ecologically relevant but public health framing. Should v2 include zoonosis events?"
GS044,"On Lakshadweep's Kadmat Island corals | Green Humour by Rohan Chakravarty",https://www.thehindu.com/sci-tech/energy-and-environment/on-lakshadweeps-kadmat-island-corals-green-humour-by-rohan-chakravarty/article71076215.ece,The Hindu,2026-06-11,Lakshadweep,10.5626,72.6369,BORDERLINE,other,editorial_cartoon,Coral,,LC,,Lakshadweep / Kadmat Island,11.23,72.79,point,NO,too_broad,"0,0,0,low,","VALIDATE: This is an editorial cartoon/opinion piece. Include? Kadmat Island is more precise than state centroid Lakshadweep."
GS045,"CREDAI supports Parandur project says second airport for Chennai is necessary",https://www.thehindu.com/news/national/tamil-nadu/credai-supports-parandur-project-says-second-airport-for-chennai-is-necessary/article71082041.ece,The Hindu,2026-06-10,Chennai,13.0827,80.2707,NO,other,,,,,,,,,,,,,0,0,0,,,,"FALSE POSITIVE: Urban infrastructure (airport construction). No wildlife content."
GS046,"Crime against caracal sparks a census project for the cat",https://india.mongabay.com/2026/06/crime-against-caracal-sparks-a-census-project-for-the-cat/,Mongabay India,2026-06-10,Rajasthan,27.0238,74.2179,YES,research,population_survey,Caracal,Caracal caracal,LC,,Rajasthan,27.0238,74.2179,state,YES,,0,0,1,medium,,"VALIDATE: What crime? Article references poaching ('crime against caracal'). Could be classified as poaching + research triggered by it."
GS047,"A long-distance ocean traveller",https://india.mongabay.com/short-article/2026/06/a-long-distance-ocean-traveller/,Mongabay India,2026-06-10,Tamil Nadu,11.1271,78.6569,BORDERLINE,research,migration_tracking,,,,,,Tamil Nadu coast,11.1271,78.6569,state,NO,too_broad,0,0,0,low,,"VALIDATE: Article appears to be about a seabird or marine species tracking story. State level is a fallback; coastal location would be better."
GS048,"Wild elephant attack claims 65-year-old man in Kerala's Wayanad",https://www.thehindu.com/news/national/kerala/wild-elephant-attack-claims-65-year-old-man-in-keralas-wayanad/article71084237.ece,The Hindu,2026-06-10,Kerala,10.8505,76.2711,YES,hwc,elephant_attack_fatal,Asian Elephant,Elephas maximus,EN,1,Wayanad Kerala,11.6,76.0,district,NO,too_broad,1,0,0,critical,WAYANAD-ELEPHANT-ATTACK,"v1 extracted Kerala state centroid. Headline names Wayanad. Fatal attack = critical severity."
GS049,"Gaur that roamed 300 km across districts relocated to forest habitat",https://www.thehindu.com/news/national/tamil-nadu/gaur-that-roamed-300-km-across-districts-relocated-to-forest-habitat/article71081314.ece,The Hindu,2026-06-10,Ramanathapuram,9.3762,78.8302,YES,conservation_action,wildlife_translocation,Gaur,Bos gaurus,VU,1,Ramanathapuram Tamil Nadu,9.3762,78.8302,district,YES,,0,0,0,medium,,"VALIDATE: Was the gaur relocated TO Ramanathapuram or FROM it? The headline says 'relocated to forest habitat' — where is the destination forest?"
GS050,"Three pillars of Chennai Port-Maduravoyal Corridor to come up inside Mayor Sundara Rao Park",https://www.thehindu.com/news/cities/chennai/three-pillars-of-chennai-port-maduravoyal-corridor-to-come-up-inside-mayor-sundara-rao-park/article71082054.ece,The Hindu,2026-06-10,Chennai,13.0827,80.2707,NO,other,,,,,,,,,,,,,0,0,0,,,,"FALSE POSITIVE: Urban road corridor infrastructure. 'Corridor' here is an urban road, not a wildlife corridor. Should be caught by relevance classifier."
GS051,"Kathua fire guts two dozen hutments in J&K; forest fire sparks mine blasts in Rajouri",https://www.thehindu.com/news/national/jammu-and-kashmir/kathua-fire-guts-two-dozen-hutments-in-jk-forest-fire-sparks-mine-blasts-in-rajouri/article71084482.ece,The Hindu,2026-06-10,Rajouri,33.3793,74.3105,YES,habitat_threat,forest_fire,,,,,Rajouri J&K,33.3793,74.3105,district,YES,,0,0,0,high,RAJOURI-FIRE,"Multi-topic article (Kathua fire = human infrastructure; Rajouri = forest fire). v1 correctly chose Rajouri for the forest fire component. Part of Rajouri fire cluster."
GS052,"Centre issues draft notification declaring ESZ around Kerala's Eravikulam National Park",https://www.thehindu.com/news/national/kerala/centre-issues-draft-notification-declaring-esz-around-keralas-eravikulam-national-park/article71085734.ece,The Hindu,2026-06-10,Eravikulam National Park,10.1667,77.0667,YES,policy,esz_notification,Nilgiri Tahr,Nilgiritragus hylocrius,EN,,Eravikulam National Park,10.1667,77.0667,point,YES,,0,0,0,medium,,"Gazetteer match — v1 correct. Eravikulam NP is the primary habitat for Nilgiri Tahr."
GS053,"Special reserve force to monitor wild elephant movement in conflict hotspots in Kerala",https://www.thehindu.com/news/national/kerala/special-reserve-force-to-monitor-wild-elephant-movement-in-conflict-hotspots/article71085190.ece,The Hindu,2026-06-10,Kerala,10.8505,76.2711,YES,conservation_action,surveillance_deployment,Asian Elephant,Elephas maximus,EN,,Kerala,10.8505,76.2711,state,YES,,0,0,0,medium,,"State level correct — statewide policy deployment."
GS054,"Green forum seeks removal of Forest Minister's Additional Private Secretary",https://www.thehindu.com/news/national/kerala/green-forum-seek-removal-of-forest-ministers-additional-private-secretary/article71084785.ece,The Hindu,2026-06-10,Kerala,10.8505,76.2711,BORDERLINE,policy,governance_complaint,,,,,Kerala,10.8505,76.2711,state,YES,,0,0,0,low,,"VALIDATE: Political/governance news tangentially related to forest management. Include?"
GS055,"Conservationists oppose OIL's Dehing Patkai drilling plan warn of ecological damage",https://assamtribune.com/assam/conservationists-oppose-oils-dehing-patkai-drilling-plan-warn-of-ecological-damage-1612556,Assam Tribune,2026-06-10,Dehing Patkai,27.35,95.55,YES,habitat_threat,oil_extraction,,,,,Dehing Patkai Wildlife Sanctuary,27.35,95.55,point,YES,,0,0,0,high,,"Gazetteer match — v1 correctly identified Dehing Patkai. Important habitat threat."
GS056,"Gauhati HC orders Lutumari Reserve Forest settlers to vacate within 30 days",https://assamtribune.com/assam/gauhati-hc-orders-lutumari-reserve-forest-settlers-to-vacate-within-30-days-1612553,Assam Tribune,2026-06-10,Lutumari,26.7,93.8,YES,policy,encroachment_removal,,,,,Lutumari Reserve Forest Assam,26.7,93.8,point,YES,,0,0,0,medium,,"Acceptable — Lutumari is a named reserve forest. VALIDATE: Does v1 geocoder find this correctly or is this a manual entry?"
GS057,"Wildlife experts flag threats to Asiatic lions in Gir",https://www.hindustantimes.com/india-news/wildlife-experts-write-to-gujarat-govt-flag-threats-to-asiatic-lions-in-gir-101781099060576.html,Hindustan Times,2026-06-10,Gir,21.1239,70.798,YES,conservation_action,expert_alert,Asiatic Lion,Panthera leo persica,EN,,Gir National Park & Sanctuary,21.1239,70.798,point,YES,,0,0,0,high,,"Gazetteer match — v1 correct. VALIDATE: What specific threats do experts flag? Connects to GS058 (cub deaths)."
GS058,"SC directs Kerala govt to take custody of state's tallest elephant Raman",https://www.hindustantimes.com/india-news/sc-directs-kerala-govt-to-take-custody-of-state-s-tallest-elephant-raman-101781088277406.html,Hindustan Times,2026-06-10,Kerala,10.8505,76.2711,YES,policy,court_order,Asian Elephant,Elephas maximus,EN,1,Kerala,10.8505,76.2711,state,YES,,0,0,0,medium,,"VALIDATE: This is a captive elephant welfare case (Raman = named temple elephant). Is captive elephant welfare in scope for v2?"
GS059,"Massive forest fires break out in J&K's Rajouri amid heatwave dry spell",https://risingkashmir.com/massive-forest-fires-break-out-in-jks-rajouri-amid-heatwave-dry-spell/,Rising Kashmir,2026-06-10,Rajouri,33.3793,74.3105,YES,habitat_threat,forest_fire,,,,,Rajouri J&K,33.3793,74.3105,district,YES,,0,0,0,high,RAJOURI-FIRE,"Part of Rajouri fire cluster. Earliest article about this fire cluster (Jun 10). Good candidate for primary/canonical article."
GS060,"Researchers describe a new fanged frog species that builds mud nests on the forest floor",https://india.mongabay.com/2026/06/researchers-describe-a-new-fanged-frog-species-that-builds-mud-nests-on-the-forest-floor/,Mongabay India,2026-06-09,Namdapha Tiger Reserve,27.5333,96.3833,YES,discovery,new_species,Fanged Frog (new species),Limnonectes sp. nov.,,1,Namdapha Tiger Reserve,27.5333,96.3833,point,YES,,0,0,0,low,,"Gazetteer match — v1 correctly identified Namdapha TR. Good example of gazetteer working correctly."
